description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,865785,103,gene111,3458,5253
odda,0,865785,165,gene61,5475,8415
odda,0,865785,191,gene54,6035,9741
odda,0,865785,232,gene69,7420,11832
odda,0,865785,240,gene12,7324,12240
odda,0,865785,264,gene231,8020,13464
odda,0,865785,290,gene24,9036,14790
odda,0,865785,310,gene219,9416,15810
odda,0,865785,330,gene151,9956,16830
odda,0,865785,351,gene11,10452,17901
odda,0,865785,381,gene218,11216,19431
odda,0,865785,393,gene97,11304,20043
odda,0,865785,413,gene149,12112,21063
odda,0,865785,439,gene197,12916,22389
odda,0,865785,463,gene166,13104,23613
odda,0,865785,471,gene47,13520,24021
odda,0,865785,505,gene8,14388,25755
odda,0,865785,531,gene230,14824,27081
odda,0,865785,573,gene185,15900,29223
odda,0,865785,597,gene238,16064,30447
odda,0,865785,609,gene3,16980,31059
odda,0,865785,625,gene20,17188,31875
odda,0,865785,658,gene74,18104,33558
odda,0,865785,684,gene138,18436,34884
odda,0,865785,706,gene181,19076,36006
odda,0,865785,740,gene55,20304,37740
odda,0,865785,766,gene268,19972,39066
odda,0,865785,796,gene1,21340,40596
odda,0,865785,828,gene221,21736,42228
odda,0,865785,855,gene228,22288,43605
odda,0,865785,887,gene36,23468,45237
odda,0,865785,920,gene250,23844,46920
odda,0,865785,954,gene22,25416,48654
odda,0,865785,1025,gene83,26724,52275
odda,0,865785,1120,gene63,29304,57120
odda,0,865785,1176,gene296,29532,59976
odda,0,865785,1299,gene276,32128,66249
odda,0,865785,1455,gene26,36896,74205
odda,0,865785,1548,gene320,37044,78948
odda,0,865785,1950,gene235,45860,99450
odda,0,865785,2188,gene303,50552,111588
odda,0,865785,3540,gene222,78384,180540
odda,0,865785,1142,gene150,33264,58242
odda,1,865785,125,gene104,4056,6375
odda,1,865785,165,gene298,5411,8415
odda,1,865785,193,gene43,6326,9843
odda,1,865785,233,gene32,7339,11883
odda,1,865785,240,gene212,7259,12240
odda,1,865785,264,gene177,8183,13464
odda,1,865785,291,gene168,8724,14841
odda,1,865785,313,gene236,9220,15963
odda,1,865785,331,gene163,9851,16881
odda,1,865785,354,gene201,10536,18054
odda,1,865785,382,gene247,11132,19482
odda,1,865785,396,gene229,11440,20196
odda,1,865785,414,gene148,11936,21114
odda,1,865785,440,gene131,12680,22440
odda,1,865785,464,gene115,13492,23664
odda,1,865785,471,gene94,13468,24021
odda,1,865785,515,gene304,14420,26265
odda,1,865785,537,gene189,15128,27387
odda,1,865785,575,gene46,15920,29325
odda,1,865785,598,gene317,16172,30498
odda,1,865785,611,gene112,17228,31161
odda,1,865785,626,gene274,16948,31926
odda,1,865785,664,gene248,17648,33864
odda,1,865785,685,gene312,18232,34935
odda,1,865785,707,gene328,18800,36057
odda,1,865785,742,gene41,20184,37842
odda,1,865785,767,gene173,20792,39117
odda,1,865785,797,gene202,21500,40647
odda,1,865785,831,gene239,21928,42381
odda,1,865785,857,gene269,22248,43707
odda,1,865785,888,gene302,22472,45288
odda,1,865785,922,gene281,23660,47022
odda,1,865785,959,gene50,25044,48909
odda,1,865785,1049,gene14,27464,53499
odda,1,865785,1122,gene4,29220,57222
odda,1,865785,1226,gene331,30764,62526
odda,1,865785,1312,gene98,33244,66912
