batch,tree,distance,sort
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.0,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.0,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.1,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.1,17653272,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.10,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.10,17120844,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.100,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.100,17650701,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.101,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.101,17650390,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.102,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.102,17652573,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.103,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.103,17653139,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.104,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.104,17120903,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.105,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.105,17120492,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.106,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.106,17653789,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.107,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.107,17120131,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.11,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.11,17650425,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.12,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.12,17120903,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.13,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.13,17654117,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.14,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.14,17108858,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.15,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.15,17653272,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.16,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.16,17652573,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.17,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.17,17109485,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.18,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.18,17653403,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.19,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.19,17653576,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.2,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.2,17653789,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.20,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.20,17654117,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.21,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.21,17108419,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.22,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.22,17109486,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.23,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.23,17119779,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.24,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.24,17120903,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.25,20021331,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.25,17652573,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.26,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.26,17121231,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.27,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.27,17119939,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.28,20017427,original
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.28,17108858,lxi
pars_ml,./data/10b/parsimony_trees/RAxML_result.T2.RUN.29,20021331,original
