partition,distance,sort
partition,2007103,original
partition,1703118,lxi
partition,2007267,original
partition,1703333,lxi
partition,2007259,original
partition,1703337,lxi
partition,2035130,original
partition,1730809,lxi
partition,2008067,original
partition,1704071,lxi
partition,2008142,original
partition,1704157,lxi
partition,2008117,original
partition,1704158,lxi
partition,2008127,original
partition,1704347,lxi
partition,2037041,original
partition,1732433,lxi
partition,2008459,original
partition,1704201,lxi
partition,2037299,original
partition,1732374,lxi
partition,2008543,original
partition,1704098,lxi
partition,2008595,original
partition,1704054,lxi
partition,2008275,original
partition,1702857,lxi
partition,2007827,original
partition,1704138,lxi
partition,2035127,original
partition,1731906,lxi
partition,2008031,original
partition,1704262,lxi
partition,2010083,original
partition,1705561,lxi
partition,2037184,original
partition,1733009,lxi
partition,2010611,original
partition,1705793,lxi
partition,2009855,original
partition,1705294,lxi
partition,2036713,original
partition,1732422,lxi
partition,2010539,original
partition,1705794,lxi
partition,2007269,original
partition,1703391,lxi
partition,2008101,original
partition,1704266,lxi
partition,2035277,original
partition,1730922,lxi
partition,2008261,original
partition,1704305,lxi
partition,2008353,original
partition,1704396,lxi
partition,2008318,original
partition,1704381,lxi
partition,2008145,original
partition,1704426,lxi
partition,2008469,original
partition,1705168,lxi
partition,2037384,original
partition,1733456,lxi
partition,2008813,original
partition,1705284,lxi
partition,2008089,original
partition,1704848,lxi
partition,2035347,original
partition,1732371,lxi
partition,2008281,original
partition,1704931,lxi
partition,2032431,original
partition,1727912,lxi
partition,2007219,original
partition,1703384,lxi
partition,2008015,original
partition,1704262,lxi
partition,2035084,original
partition,1730934,lxi
partition,2008107,original
partition,1704285,lxi
partition,2008186,original
partition,1704363,lxi
partition,2008150,original
partition,1704363,lxi
partition,2008111,original
partition,1704386,lxi
partition,2008419,original
partition,1705049,lxi
partition,2037342,original
partition,1733288,lxi
partition,2008763,original
partition,1705129,lxi
partition,2008023,original
partition,1704729,lxi
partition,2035181,original
partition,1732255,lxi
partition,2008167,original
partition,1704813,lxi
partition,2032429,original
partition,1727906,lxi
partition,2008047,original
partition,1704200,lxi
partition,2035212,original
partition,1731071,lxi
partition,2008163,original
partition,1704271,lxi
partition,2008241,original
partition,1704368,lxi
partition,2008216,original
partition,1704359,lxi
partition,2008047,original
partition,1703976,lxi
partition,2008355,original
partition,1704777,lxi
partition,2037272,original
partition,1733132,lxi
partition,2008699,original
partition,1704948,lxi
partition,2037541,original
partition,1733133,lxi
partition,2008795,original
partition,1704898,lxi
partition,2008003,original
partition,1704485,lxi
partition,2035278,original
partition,1732089,lxi
partition,2008211,original
partition,1704634,lxi
partition,2010275,original
partition,1705838,lxi
partition,2009979,original
partition,1705504,lxi
partition,2007279,original
partition,1703491,lxi
partition,2036166,original
partition,1731756,lxi
partition,2007615,original
partition,1703573,lxi
partition,2036453,original
partition,1731837,lxi
partition,2007703,original
partition,1703615,lxi
partition,2007787,original
partition,1703758,lxi
partition,2007415,original
partition,1702486,lxi
partition,2006939,original
partition,1703183,lxi
partition,2034069,original
partition,1730577,lxi
partition,2006951,original
partition,1703212,lxi
partition,2008267,original
partition,1703940,lxi
partition,2034853,original
partition,1730790,lxi
partition,2008647,original
partition,1704045,lxi
partition,2008035,original
partition,1703604,lxi
partition,2034352,original
partition,1730237,lxi
partition,2008611,original
partition,1704031,lxi
partition,2033242,original
partition,1729755,lxi
partition,2007227,original
partition,1703734,lxi
partition,2007619,original
partition,1704362,lxi
partition,2007734,original
partition,1704565,lxi
partition,2007733,original
partition,1704561,lxi
partition,2033424,original
partition,1730059,lxi
partition,2006254,original
partition,1703083,lxi
partition,2006034,original
partition,1703682,lxi
partition,2034968,original
partition,1732077,lxi
partition,2006342,original
partition,1703900,lxi
partition,2035195,original
partition,1732055,lxi
partition,2006418,original
partition,1703837,lxi
partition,2006302,original
partition,1703478,lxi
partition,2033924,original
partition,1731011,lxi
partition,2006586,original
partition,1703669,lxi
partition,2008978,original
partition,1704821,lxi
partition,2008786,original
partition,1704595,lxi
