batch,tree,likelihood,root_node,height,partition,operations_maximum,operations_optimized,ratio_of_savings,split_partitions
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,12S_rRNA,514471,157871,69.31391662503815,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,12S_rRNA,514471,140487,72.69292146690483,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,16S_rRNA,728909,214518,70.56998884634433,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,16S_rRNA,728909,190516,73.86285530841299,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ATP6,448698,186372,58.46382199162912,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ATP6,448698,167354,62.70230756544491,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ATP8,171190,80819,52.78988258659968,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ATP8,171190,72184,57.83398563000175,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,COX1,734315,277971,62.145536997065285,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,COX1,734315,251251,65.78430237704528,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,COX2,420767,173713,58.71515589387951,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,COX2,420767,156107,62.89941939363115,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,COX3,436084,191553,56.074288439841865,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,COX3,436084,172561,60.42941268196036,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,Cytb,693770,274833,60.385574469925196,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,Cytb,693770,246646,64.44844833302102,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND1,602769,223247,62.96309199710005,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND1,602769,198194,67.11941058680854,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND2,779365,293202,62.37937295105631,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND2,779365,262900,66.26741000686455,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND3,238765,112100,53.05007015266057,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND3,238765,99760,58.21833183255502,0
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND4,915416,343355,62.49191624354392,1
pars,./data/128/parsimony_trees/RAxML_parsimonyTree.T8.RUN.0,-814775.23914,0,14,ND4,915416,308050,66.3486327527594,0
