tree,partition,operations_maximum,operations_optimized,ratio_of_savings,number_of_sites,number_of_taxa
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,3780,1249,66.95767195767196,10,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,3780,1982,47.56613756613757,10,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,3780,1691,55.26455026455026,10,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,4158,1330,68.01346801346801,11,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,4158,2110,49.254449254449256,11,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,4158,1898,54.353054353054354,11,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,4536,1546,65.91710758377425,12,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,4536,2187,51.78571428571429,12,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,4536,2105,53.59347442680777,12,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,4914,1836,62.637362637362635,13,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,4914,2263,53.94790394790395,13,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,4914,2332,52.54375254375254,13,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,5292,2206,58.31443688586546,14,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,5292,2428,54.11942554799698,14,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,5292,2425,54.176114890400605,14,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,5670,2576,54.567901234567906,15,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,5670,2504,55.83774250440917,15,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,5670,2600,54.14462081128748,15,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,6048,2949,51.24007936507936,16,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,6048,2577,57.39087301587301,16,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,6048,2726,54.92724867724868,16,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,6426,3053,52.489884842826015,17,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,6426,2753,57.15841892312481,17,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,6426,2896,54.93308434484905,17,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,6804,3169,53.42445620223398,18,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,6804,2886,57.583774250440925,18,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,6804,2969,56.36390358612581,18,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,7182,3449,51.97716513505988,19,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,7182,2990,58.368142578668895,19,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,7182,3080,57.1150097465887,19,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,7560,3785,49.93386243386244,20,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,7560,3126,58.65079365079365,20,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,7560,3117,58.76984126984127,20,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,7938,3980,49.86142605190224,21,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,7938,3194,59.76316452506929,21,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,7938,3191,59.80095742000504,21,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,8316,4028,51.56325156325157,22,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,8316,3226,61.20731120731121,22,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,8316,3301,60.30543530543531,22,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,8694,4182,51.89786059351277,23,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,8694,3303,62.00828157349897,23,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,8694,3370,61.23763515067863,23,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,9072,4271,52.92107583774251,24,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,9072,3384,62.698412698412696,24,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,9072,3480,61.64021164021164,24,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,9450,4320,54.285714285714285,25,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,9450,3496,63.00529100529101,25,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,9450,3675,61.111111111111114,25,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,9828,4372,55.51485551485551,26,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,9828,3608,63.288563288563296,26,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,9828,3864,60.68376068376068,26,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,10206,4456,56.33940819126004,27,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,10206,3716,63.59004507152656,27,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,10206,4192,58.92612188908485,27,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,10584,4508,57.407407407407405,28,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,10584,3882,63.32199546485261,28,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,10584,4280,59.561602418745274,28,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,10962,4576,58.25579273855136,29,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,10962,3958,63.89345010034665,29,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,10962,4553,58.46560846560847,29,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,11340,4644,59.04761904761905,30,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,11340,4131,63.57142857142857,30,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,11340,4585,59.5679012345679,30,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,11718,4712,59.78835978835979,31,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,11718,4224,63.952892985151045,31,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,11718,4662,60.215053763440864,31,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,12096,4784,60.449735449735456,32,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,12096,4336,64.15343915343915,32,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,12096,4786,60.43320105820106,32,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,12474,4856,61.07102773769441,33,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,12474,4432,64.47009780343113,33,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,12474,4898,60.73432740099407,33,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,12852,5038,60.79987550575786,34,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,12852,4525,64.79147214441332,34,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,12852,4930,61.64021164021164,34,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,13230,5119,61.30763416477703,35,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,13230,4694,64.52003023431595,35,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,13230,4998,62.22222222222222,35,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,13608,5340,60.758377425044095,36,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,13608,4694,65.50558495002939,36,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,13608,5270,61.27278071722516,36,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,13986,5542,60.37466037466037,37,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,13986,4818,65.55126555126554,37,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,13986,5426,61.2040612040612,37,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,14364,5610,60.94402673350042,38,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,14364,4891,65.9495962127541,38,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,14364,5494,61.751601225285434,38,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,14742,5790,60.72446072446073,39,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,14742,4968,66.30036630036629,39,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,14742,5606,61.972595305928635,39,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,15120,5964,60.55555555555555,40,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,15120,5056,66.56084656084657,40,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,15120,5779,61.779100529100525,40,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,15498,6036,61.05303910181959,41,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,15498,5149,66.77635823977288,41,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,15498,5811,62.50483933410763,41,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,15876,6148,61.27488032249937,42,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,15876,5225,67.08868732678258,42,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,15876,5903,62.81809019904257,42,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,16254,6221,61.726344284483815,43,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rbcl1st,16254,5302,67.38033714777902,43,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,rpoc23rd,16254,5919,63.58434846806939,43,59
./data/59/parsimony_trees/RAxML_result.T4.RUN.0,ndhf1st,16632,6468,61.111111111111114,44,59
